	SRR6171591	SRR6171610	SRR6171613	SRR6171628	SRR6171632	SRR6171861	SRR6171863	SRR6171996	SRR6172005	SRR6172047	SRR6172048	SRR6172125	SRR6172126	SRR6172133	SRR6172162	SRR6172163	SRR6172165	SRR6172166	SRR6172218	SRR6172219	SRR6172263	SRR6172267	SRR6173526	SRR6173691	SRR6173720	SRR6173734	SRR6173743	SRR6173747	SRR6173774	SRR6173776
ASV 1 _	94	4018	1513	336	0	1825	4178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	715	308	2442	106	3307	3145	2559
ASV 2 _	604	1036	698	3752	675	269	1538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2113	3237	318	1951	773	1115	855	510
ASV 3 _	0	639	1195	85	0	1363	1530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	483	2751	549	15	171	833	984
ASV 4 _	17	3710	1639	7	8	695	857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	132	337	404	10	279	544	455
ASV 5 _	15	4322	753	19	9	687	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	161	167	582	22	954	340	415
ASV 6 _	27	981	720	83	38	628	1542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	616	762	490	51	362	521	260
ASV 7 _	128	372	853	135	59	612	979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	389	296	548	207	375	1197	815
ASV 8 _	246	57	1013	1355	1157	16	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	841	1147	3	80	260	84	30	22
ASV 9 _	42	217	639	432	0	128	965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	2815	228	73	23	89	16	40
ASV 10 _	368	945	141	372	340	130	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	181	0	524	637	835	374	624
ASV 11 _	10	730	494	60	9	531	1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	106	374	427	32	509	888	629
ASV 12 _	16	288	659	104	91	388	1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	628	1001	155	33	145	254	136
ASV 13 _	15	879	1128	47	13	724	1034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	307	276	330	0	91	341	243
ASV 14 _	79	486	287	546	211	190	1440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	621	1037	24	72	32	181	132	52
ASV 15 _	176	481	113	888	1120	253	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	852	214	237	91	97	140	316	90
ASV 16 _	450	500	431	100	269	280	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	38	45	477	654	434	592	503
ASV 17 _	1894	57	50	645	261	43	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	739	82	0	50	669	51	198	46
ASV 18 _	654	169	150	979	897	28	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640	520	90	80	207	59	107	100
ASV 19 _	0	148	398	10	0	1305	1904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	11	291	119	0	40	195	198
ASV 20 _	1363	24	0	1104	1339	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	52	0	0	442	7	0	0
ASV 21 _	58	383	264	285	0	201	851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	800	81	291	80	354	178	143
ASV 22 _	0	227	431	16	6	420	609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	119	760	380	0	107	365	639
ASV 23 _	597	127	29	814	1084	18	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	237	26	17	701	76	0	52
