	Kingdom	Phylum	Class	Order	Family	Genus
ASV 1 _	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	NA
ASV 2 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 3 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 4 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 5 _	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes_BD2-2	NA
ASV 6 _	Bacteria	Bacteroidetes	Ignavibacteria	Ignavibacteriales	PHOS-HE36	NA
ASV 7 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	NA
ASV 8 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	NA
ASV 9 _	Bacteria	Planctomycetes	Brocadiae	Brocadiales	Scalinduaceae	Candidatus_Scalindua
ASV 10 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 11 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Sva0081_sediment_group
ASV 12 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 13 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 14 _	Bacteria	Rokubacteria	NC10	Methylomirabilales	Methylomirabilaceae	wb1-A12
ASV 15 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA
ASV 16 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	NA
ASV 17 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 18 _	Bacteria	Acidobacteria	Subgroup_21	NA	NA	NA
ASV 19 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	SEEP-SRB1
ASV 20 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
