acc,Assay Type,AvgSpotLen,BioProject,BioSample,BioSampleModel,Cast_Replicate_Number,Center Name,collection_date,Consent,Core_Name,DATASTORE_filetype_ss,DATASTORE_provider_ss,DATASTORE_region_ss,Depth,elev,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,SRA Study
SRR6173603,AMPLICON,254,PRJNA414249,SAMN07785711,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",1,GEORGIA INSTITUTE OF TECHNOLOGY,Oct-2012,public,XC-2,sra,"s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",1.5,-1100,marine sediment,deep marine sediment,sediment,SRX3284529,USA,North America,USA:Gulf of Mexico,Illumina MiSeq,29.122783 N 87.867733 W,DC.116,PAIRED,PCR,METAGENOMIC,31,10,marine sediment metagenome,ILLUMINA,2018-07-19T00:00:00Z,SRS2594376,DC.116,SRP119940
SRR6173621,AMPLICON,254,PRJNA414249,SAMN07785715,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",1,GEORGIA INSTITUTE OF TECHNOLOGY,Oct-2012,public,XC-2,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",5.5,-1100,marine sediment,deep marine sediment,sediment,SRX3284511,USA,North America,USA:Gulf of Mexico,Illumina MiSeq,29.122783 N 87.867733 W,DC.120,PAIRED,PCR,METAGENOMIC,28,8,marine sediment metagenome,ILLUMINA,2018-07-19T00:00:00Z,SRS2594357,DC.120,SRP119940
SRR6173625,AMPLICON,254,PRJNA414249,SAMN07785713,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",1,GEORGIA INSTITUTE OF TECHNOLOGY,Oct-2012,public,XC-2,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",3.5,-1100,marine sediment,deep marine sediment,sediment,SRX3284507,USA,North America,USA:Gulf of Mexico,Illumina MiSeq,29.122783 N 87.867733 W,DC.118,PAIRED,PCR,METAGENOMIC,23,7,marine sediment metagenome,ILLUMINA,2018-07-19T00:00:00Z,SRS2594354,DC.118,SRP119940
SRR6173734,AMPLICON,255,PRJNA414249,SAMN07785717,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",1,GEORGIA INSTITUTE OF TECHNOLOGY,Oct-2012,public,XC-2,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",8.5,-1100,marine sediment,deep marine sediment,sediment,SRX3284398,USA,North America,USA:Gulf of Mexico,Illumina MiSeq,29.122783 N 87.867733 W,DC.123,PAIRED,PCR,METAGENOMIC,22,7,marine sediment metagenome,ILLUMINA,2018-07-19T00:00:00Z,SRS2594246,DC.123,SRP119940
SRR6173735,AMPLICON,254,PRJNA414249,SAMN07785718,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",1,GEORGIA INSTITUTE OF TECHNOLOGY,Oct-2012,public,XC-2,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",9.5,-1100,marine sediment,deep marine sediment,sediment,SRX3284397,USA,North America,USA:Gulf of Mexico,Illumina MiSeq,29.122783 N 87.867733 W,DC.124,PAIRED,PCR,METAGENOMIC,25,8,marine sediment metagenome,ILLUMINA,2018-07-19T00:00:00Z,SRS2594245,DC.124,SRP119940
SRR6173741,AMPLICON,255,PRJNA414249,SAMN07785712,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",1,GEORGIA INSTITUTE OF TECHNOLOGY,Oct-2012,public,XC-2,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",2.5,-1100,marine sediment,deep marine sediment,sediment,SRX3284391,USA,North America,USA:Gulf of Mexico,Illumina MiSeq,29.122783 N 87.867733 W,DC.117,PAIRED,PCR,METAGENOMIC,27,9,marine sediment metagenome,ILLUMINA,2018-07-19T00:00:00Z,SRS2594239,DC.117,SRP119940
SRR6173743,AMPLICON,254,PRJNA414249,SAMN07785710,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",1,GEORGIA INSTITUTE OF TECHNOLOGY,Oct-2012,public,XC-2,sra,"ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",0.5,-1100,marine sediment,deep marine sediment,sediment,SRX3284389,USA,North America,USA:Gulf of Mexico,Illumina MiSeq,29.122783 N 87.867733 W,DC.115,PAIRED,PCR,METAGENOMIC,36,11,marine sediment metagenome,ILLUMINA,2018-07-19T00:00:00Z,SRS2594237,DC.115,SRP119940
SRR6173745,AMPLICON,254,PRJNA414249,SAMN07785716,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",1,GEORGIA INSTITUTE OF TECHNOLOGY,Oct-2012,public,XC-2,sra,"ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",7.5,-1100,marine sediment,deep marine sediment,sediment,SRX3284387,USA,North America,USA:Gulf of Mexico,Illumina MiSeq,29.122783 N 87.867733 W,DC.122,PAIRED,PCR,METAGENOMIC,40,13,marine sediment metagenome,ILLUMINA,2018-07-19T00:00:00Z,SRS2594235,DC.122,SRP119940
SRR6173747,AMPLICON,254,PRJNA414249,SAMN07785714,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",1,GEORGIA INSTITUTE OF TECHNOLOGY,Oct-2012,public,XC-2,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",4.5,-1100,marine sediment,deep marine sediment,sediment,SRX3284385,USA,North America,USA:Gulf of Mexico,Illumina MiSeq,29.122783 N 87.867733 W,DC.119,PAIRED,PCR,METAGENOMIC,34,11,marine sediment metagenome,ILLUMINA,2018-07-19T00:00:00Z,SRS2594233,DC.119,SRP119940
SRR6173766,AMPLICON,254,PRJNA414249,SAMN07785728,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2,GEORGIA INSTITUTE OF TECHNOLOGY,Oct-2012,public,XC-2,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",1.5,-1100,marine sediment,deep marine sediment,sediment,SRX3284666,USA,North America,USA:Gulf of Mexico,Illumina MiSeq,29.122783 N 87.867733 W,DC.134,PAIRED,PCR,METAGENOMIC,32,10,marine sediment metagenome,ILLUMINA,2018-07-19T00:00:00Z,SRS2594514,DC.134,SRP119940
