run_id	collection_date	depth	water_depth	sample_sites	latitude	longtitude	environment	sample_name
SRR6173734	12-Oct	8.5	1100	DSH08	29.122783	-87.867733	NGoM	DSH08_8.5
SRR6173743	12-Oct	0.5	1100	DSH08	29.122783	-87.867733	NGoM	DSH08_0.5
SRR6173747	12-Oct	4.5	1100	DSH08	29.122783	-87.867733	NGoM	DSH08_4.5
SRR6173774	12-Oct	13	1100	DSH08	29.122783	-87.867733	NGoM	DSH08_13
SRR6173776	12-Oct	17	1100	DSH08	29.122783	-87.867733	NGoM	DSH08_17
SRR6171628	12-Oct	4.5	2290	DSH09	28.6365	-87.8685	NGoM	DSH09_4.5
SRR6171632	12-Oct	0.5	2290	DSH09	28.6365	-87.8685	NGoM	DSH09_0.5
SRR6173526	12-Oct	9.5	2290	DSH09	28.6365	-87.8685	NGoM	DSH09_9.5
SRR6173691	12-Oct	13	2290	DSH09	28.6365	-87.8685	NGoM	DSH09_13
SRR6173720	12-Oct	19	2290	DSH09	28.6365	-87.8685	NGoM	DSH09_19
SRR6171863	12-Oct	15	1500	DSH10	28.9761	-87.8683	NGoM	DSH10_15
SRR6171591	12-Oct	0.5	1500	DSH10	28.9761	-87.8683	NGoM	DSH10_0.5
SRR6171610	12-Oct	4.5	1500	DSH10	28.9761	-87.8683	NGoM	DSH10_4.5
SRR6171613	12-Oct	9.5	1500	DSH10	28.9761	-87.8683	NGoM	DSH10_9.5
SRR6171861	12-Oct	19	1500	DSH10	28.9761	-87.8683	NGoM	DSH10_19
SRR6172165	15-Aug	0	583	IXW250	19.43068	-93.09497	SGoM	IXW250_0
SRR6171996	15-Aug	16	583	IXW250	19.43068	-93.09497	SGoM	IXW250_16
SRR6172005	15-Aug	8	583	IXW250	19.43068	-93.09497	SGoM	IXW250_8
SRR6172133	15-Aug	4	583	IXW250	19.43068	-93.09497	SGoM	IXW250_4
SRR6172166	15-Aug	12	583	IXW250	19.43068	-93.09497	SGoM	IXW250_12
SRR6172047	15-Aug	12	1010	IXW500	19.44414	-93.88871	SGoM	IXW500_12
SRR6172219	15-Aug	16	1010	IXW500	19.44414	-93.88871	SGoM	IXW500_16
SRR6172267	15-Aug	8	1010	IXW500	19.44414	-93.88871	SGoM	IXW500_8
SRR6172048	15-Aug	0	1010	IXW500	19.44414	-93.88871	SGoM	IXW500_0
SRR6172218	15-Aug	4	1010	IXW500	19.44414	-93.88871	SGoM	IXW500_4
SRR6172126	15-Aug	4	1440	IXW750	19.45996	-94.58494	SGoM	IXW750_4
SRR6172162	15-Aug	0	1440	IXW750	19.45996	-94.58494	SGoM	IXW750_0
SRR6172263	15-Aug	8	1440	IXW750	19.45996	-94.58494	SGoM	IXW750_8
SRR6172125	15-Aug	16	1440	IXW750	19.45996	-94.58494	SGoM	IXW750_16
SRR6172163	15-Aug	12	1440	IXW750	19.45996	-94.58494	SGoM	IXW750_12
